Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5
19,1,2023,7,14,15,16,18,35
20,1,2023,7,2,5,25,35,37
21,1,2023,7,3,4,19,20,24
22,1,2023,7,5,9,25,33,37
23,1,2023,7,8,10,12,17,34
24,1,2023,7,3,11,15,16,22
26,1,2023,0,0,0,0,0,0,0,0,0,0,0
25,1,2023,7,11,19,21,28,35
27,1,2023,7,1,10,13,23,28
28,1,2023,7,4,21,24,34,36
29,1,2023,7,7,19,20,25,31
30,1,2023,7,13,17,27,29,30
31,1,2023,7,9,15,32,33,36
1,2,2023,7,1,14,16,31,35
2,2,2023,7,13,16,18,27,30
3,2,2023,7,3,8,10,13,34
4,2,2023,7,9,17,18,30,34
5,2,2023,7,15,16,18,21,27
6,2,2023,7,8,9,15,19,20
7,2,2023,7,5,7,24,27,33
8,2,2023,7,8,14,15,30,35
9,2,2023,7,2,3,21,29,37
10,2,2023,7,6,10,15,21,25
11,2,2023,7,5,14,17,20,32
12,2,2023,7,3,16,26,29,33
13,2,2023,6,16,18,20,21,29
14,2,2023,6,15,16,24,28,29
15,2,2023,6,2,8,12,32,35
