Date,Day,Month,Year,data_4th_Digit,OE,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,PRECTOTCORR
1998-1-31,31,1,1998,6,Odd,7.84,6.78,7.31,7.37,9.09,12.1,3.01,18.84
1998-2-4,4,2,1998,18,Odd,8.37,5.68,7.03,8.01,3.93,10.08,6.15,27.1
1998-2-7,7,2,1998,8,Even,6.99,-0.84,3.08,5.11,13.1,13.65,0.54,0.0
1998-2-11,11,2,1998,2,Odd,9.33,3.46,6.4,7.31,10.95,15.88,4.93,0.0
1998-2-14,14,2,1998,37,Odd,12.42,3.5,7.96,9.91,12.53,19.43,6.9,0.0
1998-2-18,18,2,1998,10,Odd,9.13,0.09,4.62,8.27,13.83,17.27,3.44,0.0
1998-2-21,21,2,1998,4,Even,9.99,5.14,7.56,8.89,11.26,16.9,5.63,0.09
1998-2-25,25,2,1998,1,Odd,8.48,5.02,6.75,7.73,9.89,14.25,4.36,0.15
1998-2-28,28,2,1998,13,Odd,10.06,5.87,7.97,9.99,10.11,15.28,5.17,0.0
1998-3-4,4,3,1998,28,Odd,10.46,7.78,9.12,10.48,8.05,15.02,6.96,0.0
1998-3-7,7,3,1998,2,Even,9.87,7.49,8.68,10.08,10.76,15.81,5.05,0.02
1998-3-11,11,3,1998,3,Even,4.65,-3.34,0.66,5.08,12.0,10.3,-1.71,0.16
1998-3-14,14,3,1998,16,Even,9.47,4.69,7.08,9.59,10.44,15.31,4.87,0.01
1998-3-18,18,3,1998,1,Even,10.83,3.27,7.05,10.4,11.65,17.37,5.72,0.0
1998-3-21,21,3,1998,17,Odd,8.51,-0.53,3.99,8.44,14.51,16.09,1.58,0.25
1998-3-25,25,3,1998,5,Odd,6.58,-2.9,1.84,7.01,9.16,10.44,1.28,0.39
1998-3-28,28,3,1998,16,Even,9.73,1.91,5.83,9.87,15.05,17.44,2.38,0.0
1998-4-1,1,4,1998,17,Odd,13.41,8.16,10.79,13.52,8.48,18.71,10.23,0.0
1998-4-4,4,4,1998,1,Odd,14.69,10.11,12.4,15.12,11.3,20.65,9.36,0.0
1998-4-8,8,4,1998,4,Odd,15.09,12.09,13.59,15.59,6.98,19.02,12.05,1.17
1998-4-11,11,4,1998,23,Odd,11.37,7.4,9.38,11.75,5.98,14.57,8.58,0.62
1998-4-15,15,4,1998,4,Odd,11.17,2.52,6.85,11.58,13.84,16.86,3.02,0.04
1998-4-18,18,4,1998,17,Even,10.83,5.81,8.32,11.48,5.26,13.14,7.88,3.76
1998-4-22,22,4,1998,5,Even,15.33,5.88,10.6,15.6,13.23,22.31,9.08,0.0
1998-4-27,27,4,1998,18,Odd,15.83,10.12,12.98,16.74,9.25,21.38,12.13,2.39
1998-4-29,29,4,1998,15,Odd,12.94,6.49,9.72,14.42,9.52,17.82,8.3,0.4
1998-5-2,2,5,1998,6,Even,14.6,9.57,12.08,15.7,9.81,19.98,10.16,0.34
1998-5-6,6,5,1998,5,Even,16.49,9.74,13.12,18.19,9.23,22.07,12.83,0.25
1998-5-9,9,5,1998,5,Even,20.18,8.47,14.33,20.72,13.96,27.58,13.62,0.0
1998-5-13,13,5,1998,6,Odd,22.91,9.01,15.97,23.9,15.82,30.73,14.91,0.0
1998-5-16,16,5,1998,7,Even,19.02,8.69,13.86,20.52,12.45,25.44,12.98,0.03
1998-5-20,20,5,1998,5,Odd,19.43,7.98,13.71,20.51,15.77,26.9,11.12,0.0
1998-5-23,23,5,1998,7,Odd,18.44,11.09,14.77,20.28,12.48,24.52,12.05,0.09
1998-5-27,27,5,1998,36,Odd,19.02,11.35,15.19,21.12,12.27,24.59,12.32,0.56
1998-5-30,30,5,1998,4,Even,18.98,11.33,15.15,20.48,10.54,23.98,13.43,0.0
1998-6-3,3,6,1998,48,Odd,25.96,12.13,19.05,26.65,12.25,32.25,20.0,0.0
1998-6-6,6,6,1998,13,Even,26.98,11.87,19.43,27.47,11.66,33.44,21.78,0.35
1998-6-10,10,6,1998,5,Even,22.27,14.14,18.2,24.62,11.1,28.19,17.09,0.54
1998-6-13,13,6,1998,13,Even,17.84,9.3,13.58,19.81,11.27,23.87,12.6,0.38
1998-6-17,17,6,1998,10,Odd,21.45,11.28,16.37,23.91,13.0,27.85,14.85,0.05
1998-6-20,20,6,1998,20,Odd,24.49,10.77,17.63,26.62,14.98,31.72,16.74,0.0
1998-6-24,24,6,1998,19,Even,24.6,12.73,18.66,26.85,12.72,31.22,18.5,0.0
1998-6-27,27,6,1998,2,Even,27.19,11.94,19.56,28.92,12.79,34.03,21.24,0.0
1998-7-1,1,7,1998,25,Odd,30.15,14.14,22.14,31.59,15.76,37.94,22.19,0.09
1998-7-4,4,7,1998,29,Even,25.98,12.35,19.16,28.32,13.85,33.1,19.24,0.0
1998-7-8,8,7,1998,5,Even,24.52,15.17,19.84,26.65,10.11,29.44,19.33,0.64
1998-7-11,11,7,1998,15,Odd,23.49,15.43,19.46,26.27,10.05,28.86,18.8,0.0
1998-7-15,15,7,1998,12,Even,23.85,12.19,18.02,26.42,11.68,29.55,17.87,0.01
1998-7-18,18,7,1998,1,Odd,25.0,12.95,18.98,27.63,13.32,31.78,18.46,0.0
1998-7-22,22,7,1998,56,Even,29.73,10.65,20.19,31.57,12.59,36.31,23.72,0.0
1998-7-25,25,7,1998,25,Odd,30.07,11.8,20.94,32.06,13.8,37.41,23.62,0.0
1998-7-29,29,7,1998,25,Even,27.77,15.44,21.61,30.22,12.97,34.37,21.4,0.32
1998-8-1,1,8,1998,5,Even,29.54,11.56,20.55,31.42,15.09,37.51,22.43,0.0
1998-8-5,5,8,1998,7,Even,26.06,19.19,22.62,27.38,11.66,33.65,21.99,12.08
1998-8-8,8,8,1998,12,Even,26.02,16.58,21.3,26.93,8.96,31.13,22.17,0.28
1998-8-12,12,8,1998,31,Odd,30.3,13.65,21.98,31.65,14.44,37.87,23.44,0.0
1998-8-17,17,8,1998,4,Odd,29.53,14.54,22.04,31.01,12.37,36.05,23.67,0.0
1998-8-19,19,8,1998,6,Even,26.54,17.22,21.88,28.27,8.83,31.48,22.65,3.95
1998-8-22,22,8,1998,10,Odd,24.65,17.98,21.31,26.92,9.7,29.8,20.1,0.0
1998-8-26,26,8,1998,10,Even,25.61,17.15,21.37,27.36,10.28,31.52,21.24,3.16
1998-8-29,29,8,1998,12,Odd,21.0,9.28,15.14,22.9,11.55,27.17,15.62,0.68
1998-9-2,2,9,1998,1,Even,24.8,13.46,19.12,25.98,12.72,31.49,18.77,0.0
1998-9-5,5,9,1998,15,Odd,24.15,18.83,21.49,25.59,9.85,29.44,19.59,0.54
1998-9-9,9,9,1998,10,Even,23.9,14.59,19.25,25.4,13.8,30.99,17.19,0.0
1998-9-12,12,9,1998,14,Odd,20.01,16.13,18.07,20.03,5.72,22.1,16.38,58.05
1998-9-16,16,9,1998,22,Odd,17.69,10.23,13.95,18.52,11.16,23.62,12.45,0.09
1998-9-19,19,9,1998,3,Odd,17.76,7.77,12.76,18.5,13.21,25.19,11.98,0.0
1998-9-23,23,9,1998,7,Odd,19.08,12.07,15.58,19.58,8.04,23.51,15.48,0.0
1998-9-26,26,9,1998,28,Odd,20.78,16.3,18.55,21.17,10.91,26.69,15.77,1.58
1998-9-30,30,9,1998,20,Odd,18.08,14.13,16.11,18.78,9.91,22.79,12.88,0.22
1998-10-3,3,10,1998,2,Even,14.41,12.68,13.55,14.23,5.36,16.33,10.97,15.65
1998-10-7,7,10,1998,6,Odd,17.89,15.13,16.51,18.53,4.9,20.48,15.58,34.47
1998-10-10,10,10,1998,42,Odd,16.63,12.15,14.39,16.43,7.1,20.85,13.74,0.04
1998-10-14,14,10,1998,15,Odd,13.48,6.56,10.02,13.26,12.45,20.4,7.96,0.0
1998-10-17,17,10,1998,10,Odd,16.04,13.58,14.81,16.01,8.21,20.54,12.33,0.09
1998-10-21,21,10,1998,14,Even,14.74,10.25,12.49,14.65,11.64,20.9,9.26,0.01
1998-10-24,24,10,1998,4,Even,14.11,11.69,12.9,13.9,10.52,19.35,8.83,0.09
1998-10-28,28,10,1998,37,Odd,13.8,11.94,12.87,13.53,8.82,18.21,9.4,0.02
1998-10-31,31,10,1998,1,Odd,13.37,8.0,10.69,12.75,9.05,18.57,9.51,0.0
1998-11-4,4,11,1998,6,Odd,16.65,15.55,16.11,16.44,4.62,19.63,15.01,0.28
1998-11-7,7,11,1998,15,Odd,11.1,7.77,9.44,11.02,11.53,17.48,5.96,7.82
1998-11-11,11,11,1998,19,Even,12.26,9.66,10.96,11.88,8.25,16.3,8.05,9.07
1998-11-14,14,11,1998,6,Even,10.42,7.71,9.07,9.75,7.07,13.14,6.06,5.86
1998-11-18,18,11,1998,12,Odd,6.33,1.38,3.86,5.57,10.28,12.15,1.87,0.17
1998-11-21,21,11,1998,32,Even,3.16,-3.24,-0.04,3.4,7.52,7.64,0.13,0.1
1998-11-25,25,11,1998,32,Even,6.59,2.7,4.65,5.09,9.51,11.55,2.04,1.92
1998-11-28,28,11,1998,12,Even,7.73,4.91,6.32,7.35,9.27,13.88,4.61,0.41
1998-12-2,2,12,1998,9,Even,8.9,7.12,8.01,8.35,5.95,12.32,6.37,1.0
1998-12-5,5,12,1998,27,Even,7.91,6.23,7.08,7.47,5.12,10.4,5.28,4.34
1998-12-9,9,12,1998,1,Odd,2.8,-4.37,-0.78,0.68,7.92,7.58,-0.34,0.0
1998-12-12,12,12,1998,9,Even,7.18,4.63,5.9,6.45,9.41,13.34,3.94,0.5
1998-12-16,16,12,1998,22,Odd,8.9,3.16,6.03,6.53,11.66,15.76,4.1,0.01
1998-12-19,19,12,1998,3,Even,6.65,0.95,3.8,4.09,8.66,12.15,3.48,0.01
1998-12-23,23,12,1998,3,Even,1.61,-3.59,-0.99,1.1,7.9,6.9,-0.99,0.0
1998-12-28,28,12,1998,14,Odd,6.25,1.76,4.01,4.32,7.88,11.02,3.14,0.11
1998-12-30,30,12,1998,30,Odd,5.45,1.5,3.48,4.26,9.3,11.38,2.08,0.14
1999-1-2,2,1,1999,10,Even,9.19,7.69,8.44,8.12,6.57,12.46,5.89,9.24
1999-1-7,7,1,1999,34,Odd,8.4,5.78,7.08,6.36,8.32,13.55,5.23,0.0
1999-1-9,9,1,1999,1,Odd,9.65,7.86,8.75,8.49,6.16,13.3,7.14,0.01
1999-1-13,13,1,1999,18,Odd,6.48,5.47,5.98,6.16,7.66,9.18,1.51,13.75
1999-1-16,16,1,1999,7,Odd,6.56,2.85,4.71,4.48,10.2,12.67,2.48,0.0
1999-1-20,20,1,1999,1,Even,7.9,0.25,4.08,5.23,10.63,14.44,3.8,0.0
1999-1-23,23,1,1999,36,Odd,6.98,0.86,3.92,3.98,8.66,11.94,3.27,0.09
1999-1-27,27,1,1999,8,Even,9.3,7.27,8.28,8.97,7.09,12.26,5.17,7.09
1999-1-30,30,1,1999,14,Even,-0.48,-7.45,-3.97,-0.28,4.14,1.94,-2.2,1.19
1999-2-3,3,2,1999,45,Even,4.43,-0.22,2.1,3.23,11.42,10.88,-0.54,0.0
1999-2-6,6,2,1999,9,Even,6.58,1.85,4.22,5.86,11.09,13.51,2.42,0.0
1999-2-10,10,2,1999,4,Odd,8.2,6.08,7.14,7.69,4.67,9.94,5.26,22.84
1999-2-13,13,2,1999,12,Even,1.7,-3.28,-0.79,1.96,8.2,6.8,-1.4,0.45
1999-2-17,17,2,1999,24,Odd,4.66,3.4,4.03,3.97,5.52,7.48,1.96,3.33
1999-2-20,20,2,1999,4,Odd,9.21,7.74,8.48,9.26,6.45,12.69,6.23,3.02
1999-2-24,24,2,1999,17,Odd,4.73,-1.08,1.83,4.76,13.16,11.07,-2.1,0.53
1999-2-27,27,2,1999,6,Odd,8.6,2.28,5.44,7.15,10.55,14.95,4.4,0.0
1999-3-3,3,3,1999,40,Even,10.26,8.33,9.3,10.59,7.96,15.36,7.4,0.01
1999-3-6,6,3,1999,27,Even,7.68,4.71,6.19,7.5,4.62,10.11,5.48,9.84
1999-3-10,10,3,1999,11,Odd,10.47,7.87,9.17,10.68,9.46,16.16,6.7,0.0
1999-3-13,13,3,1999,6,Even,12.13,8.3,10.22,11.34,10.65,17.51,6.87,0.0
1999-3-17,17,3,1999,3,Odd,8.09,1.27,4.69,8.58,8.62,12.12,3.5,0.1
1999-3-20,20,3,1999,43,Even,5.94,-0.05,2.94,6.2,11.79,12.15,0.37,0.0
1999-3-24,24,3,1999,4,Odd,10.08,3.15,6.61,10.41,15.66,18.25,2.6,0.0
1999-3-27,27,3,1999,7,Even,10.92,7.54,9.23,11.19,6.12,13.69,7.58,11.56
1999-3-31,31,3,1999,25,Odd,11.35,5.97,8.66,11.68,13.88,18.39,4.51,0.0
1999-4-3,3,4,1999,33,Even,12.26,5.46,8.86,11.8,12.25,18.83,6.57,0.0
1999-4-7,7,4,1999,13,Even,13.18,8.51,10.85,13.33,8.82,17.69,8.87,4.51
1999-4-10,10,4,1999,4,Odd,10.54,6.15,8.34,11.26,7.87,14.49,6.62,5.3
1999-4-14,14,4,1999,34,Odd,10.24,6.12,8.18,10.92,10.27,15.29,5.01,0.06
1999-4-17,17,4,1999,4,Even,10.1,6.03,8.06,10.29,7.55,13.36,5.81,10.19
1999-4-21,21,4,1999,20,Odd,13.04,10.33,11.69,13.36,10.2,18.19,7.99,0.39
1999-4-24,24,4,1999,20,Even,12.02,9.51,10.76,12.32,6.31,15.08,8.77,5.94
1999-4-28,28,4,1999,1,Odd,16.82,9.98,13.4,16.3,13.22,23.51,10.3,0.27
1999-5-3,3,5,1999,8,Odd,21.68,14.95,18.32,21.12,12.55,27.72,15.16,0.19
1999-5-5,5,5,1999,3,Odd,16.29,12.67,14.48,17.09,7.73,20.38,12.66,9.55
1999-5-8,8,5,1999,11,Even,17.1,12.89,14.99,17.98,9.95,22.3,12.34,1.13
1999-5-12,12,5,1999,3,Odd,18.12,13.65,15.89,19.49,10.34,23.36,13.01,0.0
1999-5-15,15,5,1999,7,Even,19.33,15.28,17.3,20.76,10.41,24.76,14.35,0.0
1999-5-19,19,5,1999,10,Even,19.55,14.53,17.04,20.16,8.14,23.73,15.59,0.03
1999-5-22,22,5,1999,3,Odd,15.7,11.85,13.77,16.1,7.47,19.47,12.0,44.42
1999-5-26,26,5,1999,3,Even,19.93,13.58,16.76,20.88,11.22,25.8,14.57,4.08
1999-5-29,29,5,1999,10,Odd,21.73,12.95,17.34,22.08,10.48,27.24,16.76,2.45
1999-6-2,2,6,1999,2,Odd,24.63,13.57,19.1,24.36,11.17,30.63,19.46,0.0
1999-6-5,5,6,1999,9,Even,20.48,12.94,16.72,21.65,10.59,26.11,15.51,0.0
1999-6-9,9,6,1999,16,Odd,24.39,13.73,19.06,23.94,9.95,29.51,19.55,0.0
1999-6-12,12,6,1999,32,Even,21.55,15.48,18.52,23.23,9.7,26.81,17.11,0.22
1999-6-16,16,6,1999,5,Odd,19.5,14.52,17.01,20.04,8.73,23.97,15.23,9.52
1999-6-19,19,6,1999,13,Even,21.4,16.05,18.73,22.18,9.38,26.3,16.92,1.47
1999-6-23,23,6,1999,31,Odd,21.08,9.61,15.34,21.65,11.16,26.75,15.58,0.0
1999-6-26,26,6,1999,8,Odd,22.57,12.52,17.55,23.4,12.69,28.44,15.75,0.0
1999-6-30,30,6,1999,13,Even,24.18,15.58,19.88,25.16,12.73,30.44,17.71,0.0
1999-7-3,3,7,1999,3,Odd,26.07,16.15,21.11,27.1,12.33,31.91,19.58,0.16
1999-7-7,7,7,1999,38,Even,24.08,17.05,20.57,26.02,8.2,28.53,20.33,0.64
1999-7-10,10,7,1999,1,Odd,21.55,15.69,18.62,23.1,9.2,26.39,17.19,7.23
1999-7-14,14,7,1999,4,Odd,24.09,18.51,21.3,25.51,8.05,28.19,20.14,1.41
1999-7-17,17,7,1999,5,Even,25.12,13.62,19.37,26.92,13.85,31.65,17.8,0.0
1999-7-21,21,7,1999,11,Even,25.57,14.39,19.98,27.12,11.97,31.67,19.7,0.0
1999-7-24,24,7,1999,13,Even,21.53,12.33,16.93,22.31,7.38,25.95,18.56,1.63
1999-7-28,28,7,1999,13,Even,24.15,16.23,20.19,25.12,9.06,29.06,20.0,0.92
1999-7-31,31,7,1999,5,Odd,24.1,11.58,17.84,26.08,14.35,31.11,16.76,0.03
1999-8-4,4,8,1999,12,Even,25.31,16.03,20.67,26.61,10.69,30.97,20.28,0.03
1999-8-7,7,8,1999,4,Even,26.51,17.3,21.9,27.68,10.7,31.76,21.06,0.0
1999-8-11,11,8,1999,10,Odd,27.11,15.73,21.42,28.71,11.07,32.68,21.61,0.0
1999-8-14,14,8,1999,45,Even,23.7,14.83,19.26,25.84,10.58,29.87,19.29,0.56
1999-8-18,18,8,1999,13,Even,26.51,16.85,21.68,28.14,11.81,32.55,20.73,0.01
1999-8-21,21,8,1999,1,Odd,27.13,19.04,23.08,29.28,10.88,33.33,22.44,0.0
1999-8-25,25,8,1999,1,Odd,26.35,16.44,21.39,28.11,13.28,33.4,20.12,0.56
1999-8-28,28,8,1999,7,Even,26.11,17.4,21.76,27.91,12.7,32.48,19.77,0.02
1999-9-1,1,9,1999,5,Even,24.11,12.29,18.19,26.16,15.38,31.68,16.3,0.02
1999-9-4,4,9,1999,38,Odd,21.23,12.51,16.87,22.48,9.36,25.82,16.46,3.52
1999-9-8,8,9,1999,15,Even,23.12,14.86,18.98,24.39,13.28,30.26,16.98,0.86
1999-9-11,11,9,1999,25,Odd,22.7,11.73,17.22,23.7,11.92,29.21,17.29,0.1
1999-9-15,15,9,1999,17,Odd,21.36,14.99,18.17,21.07,8.05,25.26,17.22,4.8
1999-9-18,18,9,1999,12,Even,20.85,16.58,18.72,21.24,8.02,25.26,17.25,0.86
1999-9-22,22,9,1999,1,Even,21.33,13.83,17.58,22.5,11.0,27.43,16.43,0.06
1999-9-25,25,9,1999,6,Even,23.59,14.01,18.8,24.07,10.34,29.85,19.51,0.0
1999-9-29,29,9,1999,4,Odd,20.43,12.97,16.7,21.07,13.63,27.61,13.98,0.0
1999-10-2,2,10,1999,6,Even,20.09,14.42,17.26,21.14,10.71,25.96,15.25,0.21
1999-10-6,6,10,1999,38,Even,14.76,7.82,11.3,15.65,10.33,20.87,10.54,0.13
1999-10-9,9,10,1999,12,Odd,15.62,5.14,10.37,14.96,10.7,21.11,10.4,0.33
1999-10-13,13,10,1999,6,Even,17.4,8.72,13.06,16.76,8.82,22.34,13.52,0.0
1999-10-16,16,10,1999,3,Odd,17.36,13.68,15.51,17.46,6.63,21.14,14.51,4.1
1999-10-20,20,10,1999,22,Even,14.55,9.66,12.1,14.2,10.66,19.59,8.94,0.91
1999-10-23,23,10,1999,24,Odd,16.3,14.59,15.44,15.9,7.74,19.89,12.15,9.68
1999-10-27,27,10,1999,6,Even,19.78,15.7,17.74,19.22,10.34,26.23,15.88,0.57
1999-10-30,30,10,1999,16,Odd,17.98,13.64,15.81,17.37,8.02,22.58,14.56,4.41
1999-11-3,3,11,1999,19,Even,16.42,13.39,14.9,16.25,9.34,22.02,12.68,1.68
1999-11-6,6,11,1999,6,Odd,14.31,11.96,13.14,14.13,7.58,18.37,10.79,20.42
1999-11-10,10,11,1999,21,Odd,8.89,1.02,4.95,8.18,12.73,15.89,3.15,3.52
1999-11-13,13,11,1999,3,Even,12.82,9.0,10.91,12.23,9.09,17.73,8.65,0.7
1999-11-17,17,11,1999,6,Even,11.01,7.23,9.12,10.72,4.9,13.19,8.29,6.15
1999-11-20,20,11,1999,20,Even,6.08,2.82,4.44,5.69,7.95,10.33,2.39,5.74
1999-11-24,24,11,1999,12,Even,7.84,5.27,6.55,6.67,9.15,12.74,3.59,3.22
1999-11-27,27,11,1999,14,Odd,7.94,2.51,5.23,6.17,10.02,13.8,3.78,0.0
1999-12-1,1,12,1999,1,Odd,11.79,8.17,9.98,9.82,8.46,16.83,8.37,0.05
1999-12-4,4,12,1999,13,Odd,11.69,9.58,10.64,11.3,5.3,14.86,9.57,0.32
1999-12-9,9,12,1999,20,Even,7.93,6.19,7.06,7.12,8.06,11.72,3.65,1.68
1999-12-11,11,12,1999,6,Odd,8.05,6.63,7.34,7.54,6.95,10.93,3.98,1.72
1999-12-15,15,12,1999,18,Odd,12.84,12.38,12.62,12.31,4.05,14.16,10.12,26.5
1999-12-18,18,12,1999,13,Odd,6.84,1.81,4.33,4.23,9.07,12.37,3.3,0.0
1999-12-22,22,12,1999,6,Odd,0.84,-4.23,-1.69,0.4,8.1,6.19,-1.9,0.02
1999-12-27,27,12,1999,20,Odd,10.62,9.81,10.22,10.04,6.52,14.48,7.94,1.11
1999-12-29,29,12,1999,14,Even,6.43,3.16,4.8,5.62,9.38,10.31,0.92,5.83
2000-1-3,3,1,2000,17,Odd,3.98,-0.06,1.96,2.62,10.88,10.66,-0.22,0.01
2000-1-5,5,1,2000,2,Odd,5.58,3.96,4.77,4.49,9.54,11.37,1.83,0.0
2000-1-8,8,1,2000,6,Odd,7.59,3.69,5.64,5.41,5.72,10.99,5.27,0.0
2000-1-12,12,1,2000,3,Even,6.65,3.3,4.98,6.48,6.22,10.73,4.5,0.86
2000-1-15,15,1,2000,11,Even,7.94,3.74,5.84,6.57,9.3,13.15,3.87,0.07
2000-1-19,19,1,2000,20,Even,4.8,-1.81,1.49,3.16,10.41,10.75,0.34,0.0
2000-1-22,22,1,2000,15,Even,6.91,4.95,5.93,5.48,6.03,9.55,3.51,2.9
2000-1-26,26,1,2000,2,Odd,1.54,-5.4,-1.93,0.83,9.91,7.08,-2.82,0.0
2000-1-29,29,1,2000,55,Even,7.62,6.08,6.85,7.23,5.62,11.1,5.48,7.25
2000-2-2,2,2,2000,12,Even,8.97,8.21,8.59,8.36,6.22,12.01,5.8,1.39
2000-2-5,5,2,2000,17,Even,6.33,-1.67,2.33,4.91,11.79,12.68,0.89,0.0
2000-2-9,9,2,2000,6,Odd,9.87,7.85,8.87,9.49,7.31,13.94,6.62,2.64
2000-2-12,12,2,2000,4,Odd,7.47,2.65,5.06,6.76,6.45,11.14,4.69,3.0
2000-2-16,16,2,2000,8,Odd,9.79,7.97,8.87,9.73,6.01,12.95,6.94,4.69
2000-2-19,19,2,2000,25,Odd,9.49,7.73,8.62,9.1,8.91,13.95,5.04,3.08
2000-2-23,23,2,2000,44,Odd,5.11,-1.61,1.75,5.08,12.88,12.08,-0.8,0.0
2000-2-26,26,2,2000,4,Odd,10.33,7.71,9.02,10.15,6.76,14.51,7.76,0.01
2000-3-1,1,3,2000,27,Even,9.44,8.01,8.73,9.01,7.3,12.19,4.9,2.92
2000-3-4,4,3,2000,7,Odd,9.9,7.94,8.92,9.8,6.25,12.1,5.84,0.0
2000-3-8,8,3,2000,4,Even,9.1,4.59,6.84,9.38,10.12,14.85,4.73,0.0
2000-3-11,11,3,2000,28,Even,10.48,8.8,9.64,10.88,6.0,13.98,7.98,0.0
2000-3-15,15,3,2000,8,Odd,11.83,9.4,10.62,12.58,6.89,15.73,8.83,0.52
2000-3-18,18,3,2000,8,Odd,10.24,4.79,7.51,10.76,12.41,16.87,4.46,0.01
2000-3-22,22,3,2000,2,Odd,9.3,2.03,5.67,9.26,11.84,15.69,3.85,0.0
2000-3-25,25,3,2000,15,Odd,10.93,9.29,10.11,10.99,5.52,13.5,7.98,6.2
2000-3-29,29,3,2000,1,Even,11.62,8.72,10.16,11.9,7.66,14.32,6.65,5.99
2000-4-1,1,4,2000,3,Even,11.24,8.48,9.86,11.25,5.09,13.71,8.62,4.98
2000-4-5,5,4,2000,10,Even,11.96,9.06,10.51,12.78,7.45,16.41,8.97,0.92
2000-4-8,8,4,2000,3,Odd,9.93,2.3,6.12,11.09,13.61,16.81,3.2,0.0
2000-4-12,12,4,2000,18,Even,12.3,9.3,10.8,13.3,7.62,16.72,9.1,0.28
2000-4-15,15,4,2000,2,Odd,14.63,11.08,12.85,15.24,9.16,19.3,10.15,0.06
2000-4-19,19,4,2000,5,Even,13.08,9.02,11.05,13.64,8.88,17.9,9.01,0.28
2000-4-22,22,4,2000,24,Even,17.98,9.89,13.94,18.16,11.53,24.26,12.73,0.02
2000-4-26,26,4,2000,17,Even,15.75,10.43,13.08,16.48,12.4,22.16,9.76,0.0
2000-4-29,29,4,2000,8,Odd,15.23,12.24,13.73,15.8,5.54,18.34,12.8,3.45
2000-5-3,3,5,2000,1,Odd,17.73,12.27,15.01,18.4,10.81,23.44,12.63,0.06
2000-5-6,6,5,2000,23,Even,17.83,11.94,14.89,17.67,10.75,23.53,12.78,0.57
2000-5-10,10,5,2000,9,Odd,21.62,13.33,17.48,21.22,10.23,26.98,16.75,0.1
2000-5-13,13,5,2000,32,Odd,20.39,13.05,16.72,21.1,10.88,26.33,15.44,0.07
2000-5-17,17,5,2000,11,Even,20.71,11.76,16.23,21.0,11.98,27.09,15.12,0.0
2000-5-20,20,5,2000,19,Even,16.8,11.98,14.39,18.69,8.75,21.51,12.76,0.0
2000-5-24,24,5,2000,8,Even,20.05,13.95,17.0,21.13,10.35,25.33,14.98,0.0
2000-5-27,27,5,2000,3,Even,20.35,14.9,17.62,21.3,8.73,25.76,17.03,0.36
2000-5-31,31,5,2000,4,Odd,20.67,13.89,17.28,21.85,9.71,25.56,15.86,0.0
2000-6-3,3,6,2000,6,Odd,23.08,13.71,18.4,24.26,11.94,29.08,17.15,0.0
2000-6-7,7,6,2000,2,Even,21.23,15.67,18.44,21.45,7.3,24.67,17.38,3.81
2000-6-10,10,6,2000,3,Even,24.23,14.64,19.44,25.39,11.4,30.24,18.84,0.84
2000-6-14,14,6,2000,15,Even,23.13,12.74,17.94,24.55,14.16,30.28,16.12,0.02
2000-6-17,17,6,2000,29,Odd,22.81,10.7,16.76,24.37,14.91,30.37,15.46,0.0
2000-6-21,21,6,2000,12,Odd,23.92,11.55,17.73,25.33,12.77,30.56,17.79,0.0
