Pairs,Frequency,Dates
6-64,12,"2021/9/9,2021/7/22,2021/7/17,2019/4/27,2018/10/23,2016/10/22,2013/8/27,2013/6/25,2012/9/29,2010/4/10,2009/12/22,2009/5/26"
5-48-83,2,"2022/4/5,2019/12/3"
18-30-42-70-78-80,1,2020/7/25
15-48-55,2,"2020/9/22,2013/12/23"
55-66-78,2,"2020/1/9,2013/11/28"
11-25-85,2,"2019/5/16,2010/2/4"
12-27-65,2,"2014/2/11,2012/9/13"
6-39-41,2,"2013/6/13,2009/2/21"
10-55-61,2,"2011/1/18,2009/3/28"
35-41-59,2,"2017/10/12,2010/11/6"
4-52-66,2,"2017/10/10,2013/4/4"
5-6-74,3,"2021/9/21,2018/8/2,2011/6/28"
54-68-78,2,"2012/4/24,2012/1/3"
1-5-41,3,"2014/3/15,2013/10/24,2013/6/13"
32-53-66-83,2,"2014/5/27,2009/12/17"
41-44-73,3,"2015/2/26,2014/2/1,2012/1/19"
49-75-87,2,"2020/8/27,2014/7/19"
47-77,12,"2022/2/12,2021/12/28,2019/11/30,2018/7/19,2018/1/30,2013/7/4,2013/5/14,2012/6/12,2012/4/19,2010/1/14,2009/10/20,2009/9/10"
45-72,9,"2021/3/23,2020/2/18,2020/2/11,2017/8/24,2014/5/3,2013/9/14,2011/9/17,2010/9/25,2009/10/17"
56-90,15,"2022/7/23,2019/11/5,2016/6/6,2016/1/5,2015/4/14,2014/4/19,2014/4/1,2014/3/1,2013/9/3,2012/5/24,2012/1/19,2011/7/19,2010/11/2,2010/9/4,2009/8/13"
4-23-88,2,"2021/11/11,2011/1/20"
35-44-62-74-82-90,1,2015/3/5
4-26-34-66-67-81,1,2015/7/28
9-52-76,2,"2021/2/16,2020/11/26"
23-32-53,2,"2018/7/31,2009/12/17"
38-62,13,"2022/7/16,2022/2/8,2021/3/18,2016/1/7,2015/7/4,2012/1/21,2011/11/15,2011/3/26,2010/6/3,2010/4/29,2009/6/25,2009/6/20,2009/4/16"
41-76,10,"2022/4/19,2022/3/12,2021/12/16,2020/11/10,2019/8/13,2019/5/4,2016/3/19,2013/10/24,2011/8/9,2009/10/31"
24-32-78-83,2,"2017/6/15,2011/5/19"
20-36-74,2,"2016/1/9,2009/8/27"
15-20-83,2,"2021/10/23,2011/12/29"
6-30,5,"2018/11/27,2018/10/23,2012/5/10,2011/12/27,2011/9/15"
14-16-64,2,"2021/1/9,2018/12/22"
26-50-55,2,"2016/11/10,2015/9/22"
1-32-48-58-68-75,1,2021/4/20
38-42-86,2,"2011/4/28,2010/10/5"
25-63-78,2,"2017/5/9,2011/2/15"
30-86-90,2,"2018/10/4,2016/4/19"
10-46,6,"2020/5/26,2019/4/18,2017/5/25,2015/3/26,2012/10/30,2009/3/14"
12-56-78,2,"2020/7/2,2009/6/30"
17-67-84,2,"2017/1/14,2015/4/21"
71-76-89,3,"2022/4/19,2018/12/20,2013/3/19"
55-76,11,"2022/2/5,2021/8/26,2020/11/21,2019/1/5,2018/6/28,2017/1/21,2015/5/9,2014/9/30,2013/12/23,2011/8/9,2009/1/29"
13-24-26-77,2,"2014/12/20,2010/1/7"
14-27-56,2,"2020/9/5,2010/7/31"
27-68-72,2,"2018/4/10,2012/1/24"
48-56-83,3,"2018/2/27,2015/4/4,2014/11/20"
38-53-65,2,"2019/9/19,2015/12/3"
30-37-44,2,"2022/9/3,2020/1/4"
15-17-34-59-83-86,1,2011/1/13
18-60-69,2,"2016/9/1,2015/12/22"
17-35-70-71-74-82,1,2020/7/14
27-76,11,"2022/9/15,2021/6/10,2019/2/7,2018/11/29,2018/1/20,2017/4/8,2016/8/9,2014/4/29,2013/3/28,2010/12/16,2009/1/29"
29-56-75,2,"2015/2/3,2010/4/8"
76-82,9,"2020/11/21,2020/5/28,2019/5/21,2017/6/20,2014/4/8,2013/12/31,2012/11/6,2011/8/9,2011/5/10"
37-84,4,"2021/8/5,2019/8/29,2015/1/5,2012/3/22"
61-80-83,2,"2016/6/9,2015/5/28"
44-57,12,"2021/12/18,2021/6/26,2020/1/4,2019/5/18,2017/1/17,2015/8/29,2015/2/26,2015/1/22,2014/10/25,2013/9/10,2011/6/14,2011/2/19"
10-85,13,"2020/12/15,2020/11/5,2019/4/11,2018/10/9,2016/6/4,2015/5/12,2015/4/18,2013/10/12,2012/5/12,2011/12/13,2011/5/31,2011/3/19,2010/7/10"
18-21-58-65-89-90,1,2011/8/6
5-20,6,"2022/9/13,2018/4/19,2015/3/19,2011/6/7,2010/7/15,2009/4/14"
10-17,8,"2022/5/26,2019/2/16,2017/10/17,2014/5/20,2012/9/20,2011/6/9,2011/2/17,2010/8/10"
76-86,12,"2021/9/9,2021/6/8,2019/1/10,2017/6/20,2017/4/8,2017/4/1,2016/3/17,2015/8/18,2014/4/29,2011/1/8,2010/12/16,2009/1/29"
4-43-61,2,"2021/3/6,2015/10/3"
14-61-85,2,"2019/6/25,2014/6/21"
9-17-67-68-80-81,1,2012/7/28
34-79,7,"2021/7/20,2020/2/4,2019/7/23,2018/5/17,2016/4/12,2011/7/7,2010/7/10"
19-36-81,2,"2022/6/28,2014/6/19"
15-20-46,2,"2018/11/10,2010/7/15"
20-79,8,"2022/10/13,2021/10/30,2020/12/31,2019/8/20,2019/4/23,2014/12/11,2013/11/26,2012/11/13"
36-42,9,"2020/9/12,2019/8/24,2019/7/13,2018/12/24,2018/12/15,2015/9/5,2014/3/25,2011/7/23,2010/12/4"
5-10,7,"2022/2/1,2021/8/31,2020/11/5,2019/4/11,2015/2/28,2015/1/27,2013/6/8"
16-20-23,2,"2022/9/13,2012/6/4"
9-69-78,2,"2021/6/12,2015/5/26"
6-15-36-42-67-78,1,2020/9/12
84-87,9,"2022/2/26,2020/5/16,2019/7/30,2019/5/21,2018/9/15,2015/1/20,2013/4/6,2012/7/31,2011/6/16"
28-33-38,2,"2018/7/3,2010/6/26"
37-44,10,"2022/9/3,2021/8/5,2021/6/10,2021/5/8,2020/1/4,2019/12/17,2017/7/15,2012/4/5,2011/12/22,2009/6/3"
9-69,9,"2022/9/13,2021/6/12,2018/5/31,2015/5/26,2012/6/21,2012/6/16,2012/4/21,2012/3/27,2009/7/23"
12-19-62,2,"2018/5/22,2012/1/21"
55-69-90,2,"2018/5/26,2010/4/13"
13-63,6,"2019/7/2,2019/6/18,2014/7/3,2013/4/23,2012/11/29,2010/9/25"
26-82,10,"2022/10/1,2020/2/18,2019/11/19,2019/5/9,2016/7/30,2014/9/6,2013/3/7,2011/11/26,2010/9/9,2009/2/28"
23-55,4,"2018/9/1,2018/8/7,2015/10/8,2011/8/30"
15-44-60-79-81-83,1,2022/3/1
61-89,6,"2021/3/6,2020/6/30,2018/1/2,2013/9/21,2013/8/22,2012/4/26"
37-59,8,"2022/11/3,2022/9/29,2022/1/22,2021/2/23,2019/5/14,2010/4/15,2009/10/29,2009/6/23"
28-37-52,2,"2021/8/5,2013/11/21"
19-41-86,2,"2020/10/24,2020/3/12"
50-75-90,2,"2017/10/14,2017/8/5"
70-78,10,"2020/7/25,2020/5/9,2019/3/9,2017/5/9,2014/9/9,2014/5/8,2014/3/25,2012/7/14,2010/8/19,2010/5/15"
84-90,9,"2022/5/28,2021/3/11,2019/2/12,2018/1/9,2016/8/2,2015/10/8,2015/6/18,2015/1/5,2013/2/26"
35-64-68,2,"2021/12/14,2011/1/29"
16-23-29-49-57-76,1,2018/9/13
1-48-68,3,"2022/10/25,2021/4/20,2021/4/13"
32-53-66,3,"2014/5/27,2013/12/12,2009/12/17"
31-62-76,2,"2015/5/9,2010/4/29"
3-42-67,3,"2015/6/3,2011/8/4,2009/11/28"
4-52-84,3,"2015/4/21,2014/8/21,2013/4/4"
21-22-35,2,"2019/11/26,2016/11/5"
33-34-37-50-68-82,1,2019/6/27
3-23-78,2,"2015/3/31,2011/2/12"
11-21-34-46-50-86,1,2019/2/5
7-33,6,"2021/9/30,2021/2/9,2018/12/1,2015/5/5,2012/9/29,2009/2/5"
1-12-21-31-39-49,1,2011/1/4
77-85,7,"2022/8/20,2022/2/17,2018/10/9,2017/1/24,2016/8/9,2013/5/14,2009/4/30"
7-32-45,2,"2021/9/30,2020/11/17"
14-32,6,"2022/5/26,2018/8/23,2016/1/23,2013/8/6,2011/4/26,2010/1/16"
56-87,13,"2022/8/11,2022/1/13,2019/12/23,2019/11/5,2019/1/15,2017/4/13,2015/12/17,2015/2/28,2015/2/12,2014/7/29,2012/12/18,2012/10/6,2012/8/4"
10-55-81,2,"2015/9/22,2013/11/9"
9-11-33-69-73-82,1,2012/4/21
28-68-88,2,"2013/12/5,2011/12/20"
11-29-90,2,"2019/1/29,2009/8/13"
2-49,8,"2018/1/13,2017/9/2,2016/2/13,2015/10/1,2013/8/24,2011/3/22,2010/4/3,2009/8/18"
3-26-34-61-84-87,1,2018/9/15
55-57,8,"2015/8/29,2015/6/16,2014/1/2,2013/7/30,2011/4/5,2010/5/18,2009/11/19,2009/5/16"
7-50,7,"2022/6/14,2020/3/19,2019/11/28,2018/11/13,2015/12/19,2010/4/8,2009/2/14"
9-57-64-66-69-86,1,2018/5/31
45-74,9,"2018/6/4,2017/10/24,2016/2/11,2014/10/30,2014/7/29,2013/12/24,2010/12/7,2010/11/13,2009/3/3"
56-62-66,2,"2021/2/18,2009/9/3"
1-15-16-23-24-52,1,2014/9/16
11-55-87,2,"2012/4/3,2009/4/28"
35-47-87,2,"2019/10/8,2012/8/4"
16-59,7,"2019/12/5,2019/5/30,2019/2/21,2017/10/12,2015/6/30,2013/3/2,2012/9/6"
2-83,9,"2018/3/3,2017/6/3,2017/2/7,2016/4/14,2016/1/28,2012/8/2,2010/8/12,2009/7/30,2009/4/14"
28-65-81,2,"2020/6/1,2015/11/28"
39-45-49,2,"2021/5/25,2012/3/24"
37-57,10,"2021/7/15,2021/4/1,2021/2/23,2020/7/23,2020/1/4,2017/4/4,2013/11/21,2011/6/30,2010/7/22,2009/11/21"
22-50-65,2,"2018/3/8,2016/7/5"
25-44-68,3,"2015/4/9,2013/4/9,2010/4/22"
14-15-21-41-60-63,1,2011/9/6
39-55-81,3,"2022/2/5,2013/11/9,2012/5/29"
42-52-86,2,"2019/2/2,2009/11/28"
13-16-27,2,"2021/7/10,2017/9/21"
3-4-22-43-65-67,1,2011/5/7
31-32-57-79,2,"2015/2/14,2010/5/22"
16-39-49,2,"2013/5/16,2012/9/6"
6-40,5,"2020/7/11,2018/11/15,2017/8/12,2013/6/25,2009/2/21"
5-15-39-72-76-80,1,2021/9/2
44-82,7,"2021/11/30,2019/12/24,2018/12/27,2018/4/24,2015/3/5,2013/8/27,2010/9/9"
19-63-89,2,"2021/1/23,2009/9/17"
29-67-70,2,"2018/6/23,2012/11/20"
8-24-25,2,"2013/8/1,2009/1/15"
2-52,11,"2022/4/9,2020/11/26,2020/9/15,2019/11/30,2018/9/6,2017/12/12,2016/10/6,2013/8/8,2012/1/28,2011/3/22,2009/1/22"
41-55-72-78-83-87,1,2013/9/7
3-21-31,2,"2022/3/8,2021/7/29"
10-44-48-62-68-83,1,2018/2/24
54-76,9,"2021/8/28,2019/2/7,2017/6/20,2013/12/23,2013/3/28,2013/1/10,2010/12/16,2010/4/29,2010/4/17"
6-19-67,2,"2020/7/11,2014/1/23"
13-15,5,"2022/2/19,2019/7/13,2017/1/28,2016/7/26,2011/1/25"
7-41,7,"2020/8/20,2019/8/13,2018/12/13,2016/12/17,2013/3/12,2012/10/18,2009/7/25"
3-7-12-20-48-55,1,2013/10/10
4-80-81,2,"2021/8/19,2013/2/7"
23-61-76,2,"2012/9/25,2009/2/7"
24-70-89,2,"2021/12/2,2018/9/25"
34-58-86,2,"2016/5/26,2010/2/18"
4-52-59,2,"2017/7/25,2015/4/21"
41-50-54,2,"2015/9/8,2009/2/21"
1-5,6,"2022/7/2,2014/3/15,2013/10/24,2013/8/24,2013/6/13,2011/8/2"
40-41-56,3,"2017/11/21,2012/10/6,2009/8/6"
1-13-24,2,"2014/12/20,2010/6/5"
20-51-88,2,"2014/4/17,2012/11/22"
8-16,11,"2021/7/10,2019/12/28,2019/7/30,2018/2/6,2016/3/3,2014/2/8,2012/12/11,2012/6/4,2012/5/3,2011/10/29,2009/6/6"
69-88,7,"2018/1/9,2013/6/29,2013/2/21,2011/10/20,2010/7/27,2010/3/30,2010/3/25"
17-45-69,2,"2018/3/15,2014/5/20"
30-38,7,"2021/11/27,2018/11/24,2015/9/1,2015/7/4,2011/11/17,2010/12/18,2010/6/3"
17-87,11,"2022/5/26,2021/6/3,2019/12/23,2016/6/23,2016/1/14,2015/6/4,2015/5/21,2014/11/25,2014/1/9,2011/4/9,2010/3/4"
50-75,7,"2021/1/2,2017/10/14,2017/8/5,2015/9/8,2013/2/23,2012/9/20,2010/4/8"
76-89,10,"2022/4/19,2021/7/13,2019/4/20,2019/1/5,2018/12/20,2018/6/28,2015/12/29,2013/8/17,2013/3/19,2012/5/15"
16-85,9,"2020/12/15,2018/9/22,2017/4/13,2017/3/16,2013/8/3,2013/7/30,2013/7/18,2010/6/12,2010/6/10"
34-84-88,2,"2016/9/6,2010/7/6"
14-18-64,2,"2020/12/12,2010/7/3"
15-37-89,2,"2021/12/23,2013/3/26"
23-30-50-59-60-83,1,2021/5/11
34-41,4,"2020/11/10,2015/8/13,2015/6/6,2014/10/21"
28-29-36-54-55-68,1,2017/8/26
1-60,12,"2022/9/17,2022/2/15,2021/4/3,2020/2/22,2019/1/19,2015/12/10,2014/5/6,2013/10/8,2012/11/10,2012/10/16,2011/12/9,2011/10/18"
60-83,10,"2022/6/21,2022/3/1,2021/5/11,2019/12/14,2016/6/28,2015/12/10,2013/1/22,2012/9/4,2011/12/9,2009/10/3"
7-82,3,"2018/10/2,2014/1/14,2010/11/20"
38-51-74,2,"2020/12/29,2011/7/16"
9-72-86,2,"2021/10/9,2021/6/8"
35-37,7,"2022/9/29,2022/3/24,2021/12/16,2021/1/2,2020/11/12,2017/10/7,2011/6/30"
13-16-21,2,"2022/1/25,2013/5/9"
6-7-57,2,"2020/6/30,2011/7/5"
42-62,10,"2022/9/27,2020/6/13,2019/3/7,2018/6/21,2018/3/24,2017/11/25,2015/7/18,2014/11/15,2012/8/21,2009/11/19"
2-54-89,2,"2022/9/1,2013/4/29"
6-20-31,2,"2014/9/2,2012/9/1"
17-39-41,3,"2020/8/20,2016/1/2,2009/9/10"
49-71-80,2,"2020/7/28,2013/2/5"
29-43-46,2,"2022/5/7,2018/1/18"
14-49,5,"2021/8/10,2017/1/31,2016/1/23,2011/8/13,2010/2/13"
38-66-88,3,"2021/10/19,2014/11/18,2012/8/25"
61-86,8,"2020/10/15,2020/5/23,2018/12/18,2018/6/9,2016/4/19,2016/1/7,2014/6/26,2011/10/22"
41-44-68,3,"2016/11/26,2015/7/23,2009/7/7"
18-47-89,2,"2012/12/6,2009/2/10"
4-13-23,2,"2022/1/25,2009/1/24"
11-17-40-69-84-85,1,2017/2/25
32-57-65,2,"2020/12/5,2013/5/2"
