Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10,Digit11,Digit12,Digit13,Digit14,Digit15,Digit16,Digit17,Digit18,Digit19,Digit20
7,1,2021,6,2,4,5,11,15,16,29,33,36,37,43,45,49,50,55,60,64,66,77,78
8,1,2021,6,7,10,13,17,21,30,31,34,39,41,44,46,51,57,66,72,74,77,78,80
9,1,2021,6,5,7,9,11,13,18,22,31,32,34,37,38,48,51,57,59,62,64,65,72
10,1,2021,6,1,6,11,15,20,30,31,33,35,41,45,54,59,61,63,65,67,68,73,79
11,1,2021,6,2,6,12,14,16,20,21,25,29,30,33,47,48,58,60,61,63,72,73,76
12,1,2021,6,4,7,9,11,12,18,20,24,25,27,28,30,33,43,46,49,50,73,74,77
13,1,2021,6,5,10,11,15,17,19,21,22,28,35,36,39,40,44,46,48,52,61,72,77
14,1,2021,6,5,10,15,19,24,27,29,30,33,41,43,45,52,57,65,70,74,76,79,80
15,1,2021,6,4,12,15,25,26,32,33,36,38,40,42,44,53,65,67,69,70,73,74,76
16,1,2021,6,4,7,12,13,21,22,23,24,27,36,47,48,53,62,63,68,73,75,79,80
17,1,2021,6,3,6,9,17,25,27,30,31,32,36,40,45,53,55,56,59,61,76,78,79
18,1,2021,6,3,11,13,14,16,19,26,31,43,44,46,49,51,55,57,63,64,73,76,78
19,1,2021,6,1,2,21,22,23,30,34,35,36,37,40,45,46,49,60,61,65,72,74,76
20,1,2021,6,8,10,18,24,28,33,35,40,42,44,47,48,54,55,57,62,66,69,73,80
21,1,2021,6,1,3,6,8,14,20,22,24,29,34,40,41,42,50,51,63,64,71,75,80
22,1,2021,6,3,6,8,15,19,21,25,34,42,44,45,46,53,56,58,63,69,70,74,79
23,1,2021,6,1,3,7,8,10,18,19,20,21,28,31,34,40,42,46,51,65,68,75,76
24,1,2021,6,1,6,9,10,18,20,26,31,40,48,53,55,62,63,65,68,69,70,75,76
25,1,2021,6,5,9,11,23,25,28,29,30,34,35,37,41,43,44,47,53,56,58,65,77
26,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2021,6,4,9,11,15,17,27,32,33,35,38,40,56,58,59,61,68,73,76,79,80
28,1,2021,6,6,8,12,17,18,20,21,22,29,31,34,38,43,45,49,51,55,57,66,70
29,1,2021,6,3,11,17,21,23,25,40,41,44,48,52,53,61,64,66,69,70,71,79,80
30,1,2021,6,1,5,13,18,20,22,27,30,33,34,37,43,44,52,53,59,62,65,66,79
31,1,2021,6,2,3,8,12,15,19,21,24,39,49,50,52,59,60,63,66,67,68,79,80
1,2,2021,6,10,12,16,31,33,35,37,39,40,42,49,50,53,57,58,59,66,71,74,78
2,2,2021,6,2,9,11,15,16,22,25,27,29,41,48,53,54,60,61,62,69,71,78,80
3,2,2021,6,4,8,13,17,25,26,38,45,52,56,57,58,60,61,62,67,71,75,78,79
4,2,2021,6,11,12,14,25,27,30,31,40,41,42,45,53,54,61,66,67,70,74,75,76
5,2,2021,6,7,8,9,14,15,18,20,27,28,41,44,47,51,54,55,57,69,72,73,75
6,2,2021,6,2,3,5,10,13,14,15,20,25,33,36,43,50,61,66,73,74,75,76,79
7,2,2021,6,2,3,4,5,11,20,23,31,39,43,44,45,53,55,65,67,68,69,76,80
8,2,2021,6,13,14,16,21,23,24,27,28,31,34,37,40,44,51,55,59,60,68,73,77
9,2,2021,6,6,7,8,9,14,28,33,38,40,44,46,47,50,51,54,56,59,61,67,75
10,2,2021,6,1,4,10,11,14,16,24,29,31,37,38,39,47,52,56,57,58,64,73,79
11,2,2021,6,2,3,6,9,12,13,14,16,17,19,26,27,47,48,49,52,54,63,64,74
12,2,2021,6,2,5,6,10,12,16,18,21,23,26,35,40,41,44,46,55,62,65,77,78
13,2,2021,6,2,7,16,17,20,24,26,28,33,44,46,48,52,58,65,68,74,76,79,80
14,2,2021,6,5,7,14,25,26,27,28,33,34,42,45,50,57,60,68,69,71,72,73,80
15,2,2021,6,1,3,9,12,14,24,27,31,36,37,40,43,44,46,60,63,65,74,75,77
16,2,2021,6,1,4,8,21,22,25,28,30,34,35,38,40,45,50,56,58,62,66,69,72
17,2,2021,6,3,14,16,19,26,27,30,32,33,39,41,44,53,54,62,64,70,74,77,78
18,2,2021,6,7,13,18,24,27,31,34,35,36,37,39,41,44,50,57,58,59,72,76,80
19,2,2021,6,5,8,10,16,18,31,32,33,38,45,46,49,50,52,66,67,70,73,75,78
20,2,2021,6,6,7,8,13,14,17,19,24,25,32,53,56,60,61,64,65,71,75,79,80
21,2,2021,6,6,8,9,10,16,20,23,28,37,40,41,42,44,54,62,64,70,73,74,79
22,2,2021,6,2,5,8,9,15,18,20,21,23,33,36,39,40,43,54,61,64,66,76,78
23,2,2021,6,3,6,8,14,21,23,26,30,31,33,41,50,51,52,53,61,63,65,69,79
24,2,2021,6,3,4,9,10,29,31,33,40,41,44,50,51,52,56,57,66,67,72,73,75
25,2,2021,6,1,4,5,8,14,18,19,20,23,30,31,33,34,44,46,56,60,64,65,75
26,2,2021,6,2,9,11,23,26,27,30,39,40,45,49,50,52,56,59,61,67,68,75,77
27,2,2021,6,1,3,4,6,7,9,12,22,25,29,30,43,45,55,56,59,60,65,70,79
28,2,2021,6,2,3,6,10,13,18,19,24,32,37,39,42,46,48,54,56,58,64,67,71
1,3,2021,6,3,4,15,18,23,27,31,37,39,45,47,48,52,55,58,62,65,72,78,80
2,3,2021,6,10,13,21,22,23,31,36,41,43,47,48,51,58,65,67,69,70,71,77,80
3,3,2021,6,1,2,6,7,11,12,13,15,19,29,30,33,34,36,39,44,49,51,63,78
4,3,2021,6,2,3,15,24,25,26,37,41,47,48,50,51,53,54,58,60,63,69,70,75
5,3,2021,6,3,8,12,16,18,25,29,33,36,45,47,48,50,51,52,53,65,74,76,78
6,3,2021,6,2,3,5,12,23,27,31,32,36,38,42,44,48,49,50,56,59,67,75,76
7,3,2021,6,6,15,27,28,29,30,31,32,33,37,39,50,51,60,63,64,71,74,75,77
8,3,2021,6,5,6,17,21,22,26,28,31,35,41,45,49,50,54,57,63,69,71,73,75
9,3,2021,6,11,14,20,23,28,29,32,34,39,41,45,47,49,50,53,57,72,76,77,80
10,3,2021,6,1,10,14,15,16,22,24,25,26,31,36,40,41,52,56,62,63,64,65,77
11,3,2021,6,7,10,24,28,35,36,45,50,51,52,54,56,60,62,63,65,69,76,78,80
12,3,2021,6,1,12,13,15,18,23,26,37,38,40,43,44,50,54,60,61,62,67,71,79
13,3,2021,6,2,4,5,10,14,15,20,36,38,40,42,45,48,50,52,65,66,72,74,75
14,3,2021,6,2,3,4,7,9,10,15,28,30,32,34,39,44,48,51,56,58,69,72,80
15,3,2021,6,4,9,13,16,21,28,29,31,35,44,45,49,54,57,62,63,64,65,71,77
16,3,2021,6,7,9,10,16,17,18,20,26,29,30,34,39,44,49,51,53,57,58,67,76
17,3,2021,6,1,4,13,17,23,33,40,41,42,48,49,50,51,55,62,64,67,68,76,78
18,3,2021,6,8,11,13,15,16,17,20,33,35,38,41,48,52,53,55,58,64,67,70,78
19,3,2021,6,7,20,21,24,25,27,35,38,39,41,45,46,48,49,53,59,72,73,76,78
20,3,2021,6,7,13,18,20,22,28,31,33,34,35,44,48,54,60,62,63,64,68,71,76
21,3,2021,6,1,5,6,15,17,23,25,28,34,35,43,44,45,47,53,54,59,62,63,65
22,3,2021,6,2,3,5,7,13,19,20,24,25,30,31,32,42,45,48,51,56,57,76,80
23,3,2021,6,1,3,4,5,9,10,12,18,30,31,34,40,45,47,51,53,66,67,70,78
24,3,2021,6,6,8,14,25,28,33,39,42,43,44,49,50,51,61,63,64,69,74,76,79
25,3,2021,6,5,7,10,17,23,25,29,30,35,42,45,47,50,51,53,55,61,66,70,72
26,3,2021,6,11,17,20,21,24,28,31,33,34,35,37,42,46,51,53,56,61,72,79,80
27,3,2021,6,2,4,7,9,12,14,23,24,25,30,31,32,36,39,59,63,65,69,70,79
28,3,2021,6,3,18,19,28,29,35,37,40,41,49,58,60,61,62,64,65,66,69,70,77
29,3,2021,6,1,4,7,13,23,24,27,28,35,38,46,47,51,54,56,58,64,65,68,72
30,3,2021,6,1,4,9,11,12,16,19,23,25,30,31,32,38,52,59,61,65,73,75,79
31,3,2021,6,3,10,12,14,16,17,21,22,34,39,45,50,53,63,67,68,75,76,78,80
1,4,2021,6,7,11,14,16,18,20,26,30,32,40,48,49,51,59,67,69,73,74,75,76
2,4,2021,6,4,6,11,20,22,26,29,31,33,39,41,42,47,51,52,57,59,60,66,72
3,4,2021,6,3,5,7,8,15,19,24,27,30,33,35,36,37,38,42,56,68,76,79,80
4,4,2021,6,2,13,14,17,24,27,31,34,35,47,51,53,54,57,60,61,62,71,74,77
5,4,2021,6,8,9,18,21,24,27,28,34,36,40,51,55,60,63,66,68,73,74,76,78
6,4,2021,6,7,10,14,15,17,18,27,30,33,41,54,56,61,62,63,69,73,76,77,79
7,4,2021,6,5,9,10,12,15,17,25,36,42,46,47,54,56,58,61,64,66,69,71,73
8,4,2021,6,2,4,5,7,9,19,22,26,27,28,30,39,41,47,62,63,67,72,74,78
9,4,2021,6,6,7,9,17,32,34,36,41,42,50,54,55,56,59,67,68,71,72,73,74
10,4,2021,6,6,7,16,27,28,29,32,35,42,44,49,50,51,61,64,65,68,70,72,76
18,10,2021,6,1,7,11,13,17,19,28,31,36,37,41,42,46,55,59,62,63,73,74,80
19,10,2021,6,3,6,10,11,20,23,27,34,41,43,49,50,53,55,56,62,63,65,72,76
20,10,2021,6,5,6,7,10,13,18,25,26,30,34,43,46,47,61,64,66,69,70,73,80
21,10,2021,6,2,6,8,11,15,20,25,26,27,29,31,33,34,42,44,45,48,61,62,67
22,10,2021,6,7,10,11,14,16,23,25,30,33,44,48,50,54,60,61,67,70,76,77,80
23,10,2021,6,2,3,4,7,8,26,29,32,41,42,44,48,53,57,58,59,60,63,75,77
24,10,2021,6,2,3,4,12,18,21,26,27,29,37,55,56,57,60,62,64,65,69,75,79
25,10,2021,6,1,3,4,5,10,16,19,25,26,29,38,39,46,58,65,68,72,77,79,80
26,10,2021,6,2,12,14,24,26,27,33,35,37,38,47,48,53,61,62,70,71,74,77,78
27,10,2021,6,1,2,5,9,11,13,31,38,41,42,49,51,52,53,55,63,71,75,76,80
28,10,2021,6,1,8,11,13,14,15,19,26,28,33,42,51,53,54,56,61,68,70,75,80
29,10,2021,6,5,6,7,8,10,11,14,15,16,23,27,37,38,42,46,47,48,54,62,68
30,10,2021,6,5,7,14,17,20,24,25,30,38,39,56,57,60,61,62,63,69,72,74,80
31,10,2021,6,6,7,14,17,20,32,36,37,41,45,47,48,49,50,54,58,61,62,69,76
1,11,2021,6,1,3,11,14,31,34,37,39,45,46,56,62,63,65,66,68,71,72,73,76
2,11,2021,6,1,2,10,12,14,15,18,24,27,30,40,47,49,50,65,66,73,74,75,80
3,11,2021,6,6,7,9,10,11,21,22,23,29,35,36,40,47,53,55,56,59,74,77,80
4,11,2021,6,3,7,8,19,24,28,33,34,37,38,42,47,50,53,55,62,65,75,76,77
5,11,2021,6,12,14,21,22,29,30,36,37,38,41,42,45,50,51,62,64,65,71,72,80
6,11,2021,6,1,2,4,6,18,20,29,32,33,36,48,49,52,54,61,67,68,72,73,76
7,11,2021,6,17,18,23,24,25,27,34,35,37,38,40,45,46,47,53,55,56,62,66,78
8,11,2021,6,6,7,10,22,23,25,29,34,38,45,48,50,57,58,59,66,69,72,77,79
9,11,2021,6,3,5,24,25,27,29,30,33,36,38,40,43,44,48,53,54,55,68,72,78
10,11,2021,6,8,9,13,16,21,25,28,29,31,47,50,52,53,56,58,65,66,74,75,78
11,11,2021,6,1,5,6,8,9,12,14,18,22,31,35,43,46,49,58,60,63,65,69,80
12,11,2021,6,4,11,12,16,18,19,21,23,27,33,37,53,57,59,60,64,67,77,78,80
13,11,2021,6,1,4,9,10,12,13,16,19,27,31,39,47,49,50,52,56,58,61,66,67
14,11,2021,6,3,23,26,27,29,35,36,37,42,44,48,51,59,65,67,70,71,78,79,80
15,11,2021,6,1,9,18,20,23,33,42,45,46,48,49,50,52,53,57,58,67,68,75,80
16,11,2021,6,7,8,11,16,25,29,31,33,36,38,41,43,44,55,57,59,61,62,72,76
17,11,2021,6,18,21,27,28,30,32,34,43,48,49,50,54,55,56,65,68,69,71,77,79
18,11,2021,6,3,8,11,14,17,21,24,25,28,30,43,48,59,60,67,70,71,73,78,80
19,11,2021,6,1,2,4,5,12,18,31,32,33,36,39,41,44,45,55,58,59,64,67,79
20,11,2021,6,1,3,6,9,10,12,13,15,17,23,26,35,40,46,63,66,68,70,71,76
21,11,2021,6,2,8,9,17,19,21,24,28,30,32,33,37,38,39,41,45,46,62,69,70
22,11,2021,6,6,7,11,14,17,19,20,22,27,29,31,41,44,47,50,53,57,61,65,79
23,11,2021,6,2,3,5,7,11,14,19,20,21,24,27,28,32,37,40,49,59,61,66,78
24,11,2021,6,3,13,15,17,19,21,24,25,33,36,38,39,40,41,53,56,67,76,78,79
25,11,2021,6,2,4,7,16,23,25,28,37,40,41,43,49,52,59,60,61,62,65,74,79
26,11,2021,6,3,10,12,14,18,20,31,42,43,44,45,46,51,58,61,62,72,75,78,80
27,11,2021,6,6,13,18,23,28,30,34,38,42,52,54,55,59,63,66,69,70,72,73,76
28,11,2021,6,1,6,9,24,27,29,33,40,42,43,46,52,53,54,55,58,60,66,68,71
29,11,2021,6,2,10,15,22,25,33,39,40,43,44,53,56,59,61,64,66,69,72,77,78
30,11,2021,6,1,3,4,7,8,11,12,16,17,21,22,24,25,33,42,49,53,57,69,75
1,12,2021,6,1,7,10,12,16,17,18,21,26,30,50,52,55,56,58,70,71,72,77,79
2,12,2021,6,4,7,9,10,12,16,17,28,29,30,35,53,54,55,58,59,64,71,76,78
3,12,2021,6,1,20,26,28,29,34,35,37,41,50,51,53,58,62,66,67,70,71,74,79
4,12,2021,6,1,2,3,6,7,9,13,18,20,22,31,32,40,51,55,56,57,69,76,80
5,12,2021,6,4,10,11,16,22,25,26,27,28,35,46,49,51,54,61,66,67,69,71,72
6,12,2021,6,2,4,8,10,13,17,22,28,29,37,38,42,48,52,57,58,60,62,69,76
7,12,2021,6,1,9,16,18,21,22,23,24,27,29,39,41,42,47,50,62,64,66,75,77
8,12,2021,6,2,3,4,7,8,9,16,17,19,24,25,26,30,32,34,36,37,38,42,45
9,12,2021,6,2,6,8,10,13,18,20,23,25,27,31,32,38,39,42,53,54,56,70,77
10,12,2021,6,3,21,23,29,33,37,38,44,46,48,50,51,53,54,60,64,67,69,72,73
11,12,2021,6,3,9,12,17,19,20,21,31,36,38,44,48,49,53,60,62,70,73,78,80
12,12,2021,6,1,2,7,8,11,13,16,19,23,24,48,49,52,55,56,57,62,65,69,72
13,12,2021,6,3,5,11,12,14,18,19,22,25,32,35,38,40,48,62,66,67,69,74,79
14,12,2021,6,5,12,13,15,16,17,18,21,32,42,44,45,54,56,64,66,71,72,75,80
15,12,2021,6,6,9,18,23,26,30,32,33,35,36,38,46,47,52,54,62,63,67,76,77
16,12,2021,6,8,11,12,13,14,15,23,25,33,34,45,49,63,65,66,70,74,75,78,79
17,12,2021,6,1,8,13,14,20,23,25,26,27,30,31,41,43,51,53,55,67,69,70,76
18,12,2021,6,1,2,5,9,16,18,34,36,38,45,51,52,56,57,61,66,67,71,74,77
19,12,2021,6,1,2,4,6,9,10,12,18,19,20,25,38,44,50,53,54,61,63,67,68
20,12,2021,6,1,12,16,17,21,22,24,28,33,38,42,43,46,63,65,66,68,70,75,79
21,12,2021,6,2,3,5,21,22,30,31,39,41,42,43,44,48,51,62,63,67,74,75,77
22,12,2021,6,1,6,11,13,14,26,30,31,33,34,43,50,52,57,59,61,65,71,72,79
23,12,2021,6,2,4,15,19,20,21,24,25,26,27,34,35,41,43,52,53,56,63,65,75
24,12,2021,6,7,10,13,17,22,28,29,31,32,34,35,39,41,42,43,47,54,58,62,70
25,12,2021,6,1,7,8,9,12,15,20,21,29,38,50,51,52,54,55,68,70,72,77,80
26,12,2021,6,10,13,14,17,19,21,30,32,40,41,42,51,58,65,66,67,71,72,77,80
27,12,2021,6,2,7,10,11,16,23,34,39,42,45,49,51,52,56,62,65,66,70,77,79
28,12,2021,6,5,21,23,25,28,30,34,35,40,52,54,59,61,62,64,69,71,72,73,75
29,12,2021,6,6,12,23,25,26,30,33,40,49,53,58,60,62,64,65,70,71,77,78,80
30,12,2021,6,6,7,13,16,25,26,30,37,42,44,45,46,51,52,54,55,62,70,75,76
31,12,2021,6,3,4,8,12,13,16,21,25,26,28,31,39,43,47,60,67,73,77,78,79
1,1,2022,6,5,9,15,18,22,28,30,31,32,38,40,53,57,58,62,67,68,70,78,80
2,1,2022,6,1,10,18,26,28,29,32,44,47,49,50,58,61,62,64,65,68,71,75,80
3,1,2022,6,1,10,14,15,19,25,26,32,34,44,45,47,54,55,58,60,68,69,77,78
4,1,2022,6,2,4,7,15,18,19,23,33,37,38,47,50,51,58,59,63,64,66,72,75
5,1,2022,6,2,4,7,8,9,11,16,21,22,24,27,37,38,47,57,65,68,70,72,77
6,1,2022,6,8,18,25,26,27,34,40,41,46,47,52,54,55,57,60,67,76,77,78,79
7,1,2022,6,3,5,6,9,17,21,23,25,34,39,43,47,48,49,52,53,66,77,78,79
8,1,2022,6,1,17,23,24,28,29,38,43,46,50,51,55,59,60,72,74,75,76,77,78
9,1,2022,6,1,4,20,22,26,34,37,38,40,43,44,46,47,51,56,64,71,73,76,77
10,1,2022,6,1,6,11,15,20,25,26,28,38,41,47,51,53,54,63,66,67,69,73,74
11,1,2022,6,6,7,9,12,14,17,20,26,30,36,38,50,52,55,60,66,72,74,76,79
12,1,2022,6,6,7,13,15,17,21,32,43,44,45,49,52,53,54,56,65,69,73,77,78
13,1,2022,6,6,15,17,24,25,27,31,33,37,41,42,44,46,49,51,56,57,59,68,70
14,1,2022,6,2,5,8,9,12,20,21,26,29,32,57,60,61,62,64,67,73,76,77,80
15,1,2022,6,1,12,13,25,27,32,36,37,38,40,43,45,50,57,61,67,68,69,76,79
16,1,2022,6,2,8,17,18,26,31,42,43,45,46,50,54,55,63,70,71,73,78,79,80
17,1,2022,6,2,8,12,13,16,18,34,35,39,44,48,54,55,58,63,65,70,72,73,80
18,1,2022,6,1,7,8,15,22,25,28,32,37,38,39,40,41,44,50,51,54,65,73,79
19,1,2022,6,12,16,18,20,22,23,24,26,27,30,34,49,51,56,60,67,69,72,74,76
20,1,2022,6,2,3,8,13,14,16,19,25,28,32,35,44,50,57,61,62,64,66,70,77
21,1,2022,6,3,4,6,20,25,26,28,37,39,44,51,58,62,63,67,69,70,72,75,79
22,1,2022,6,9,10,13,16,18,19,20,22,23,27,38,39,44,46,47,63,67,70,74,79
23,1,2022,6,4,9,11,18,20,21,22,27,32,41,42,44,45,49,59,62,63,64,65,69
24,1,2022,6,7,10,15,20,21,22,26,28,29,30,33,38,42,44,45,55,63,68,75,78
25,1,2022,6,7,9,13,14,23,30,39,41,42,45,54,56,58,62,64,65,67,71,72,77
26,1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2022,6,15,24,31,34,35,36,38,42,45,47,49,50,52,53,59,65,71,75,76,77
28,1,2022,6,2,15,19,21,23,35,46,51,57,61,62,64,65,71,72,73,75,76,79,80
29,1,2022,6,3,5,6,9,24,28,37,41,42,43,44,46,51,54,57,59,67,69,70,76
30,1,2022,6,16,22,23,27,33,38,41,42,44,45,50,51,61,64,65,66,70,75,77,78
31,1,2022,6,7,15,18,19,20,23,25,29,31,32,33,34,41,44,48,51,55,75,78,79
1,2,2022,6,7,13,19,22,24,25,30,31,43,45,46,48,49,65,69,71,74,75,77,79
2,2,2022,6,1,4,6,9,14,15,21,23,34,35,36,40,41,42,49,52,54,72,74,76
3,2,2022,6,2,12,15,16,32,33,34,36,37,38,44,46,47,49,51,54,59,64,68,73
4,2,2022,6,2,7,10,11,19,21,26,29,32,34,35,42,48,54,57,58,59,66,72,77
5,2,2022,6,6,7,8,9,12,14,15,19,24,29,33,34,36,39,48,49,50,67,70,74
6,2,2022,6,1,2,6,7,19,25,33,38,39,40,43,49,56,60,61,62,63,65,72,78
7,2,2022,6,3,7,13,16,17,18,21,23,29,32,38,41,47,48,53,54,59,60,68,71
8,2,2022,6,10,11,14,15,17,19,22,23,24,26,29,30,31,33,34,41,50,65,77,78
9,2,2022,6,1,4,13,14,22,33,38,40,43,45,49,50,52,54,58,59,64,69,71,79
10,2,2022,6,8,12,21,33,34,42,48,52,53,57,58,60,61,63,72,73,74,76,79,80
11,2,2022,6,1,4,11,16,18,26,29,30,31,36,37,38,43,47,60,72,73,75,76,77
12,2,2022,6,3,10,13,14,15,22,28,31,34,40,42,46,56,59,60,61,65,66,75,79
13,2,2022,6,1,4,11,20,22,26,30,32,33,35,39,42,43,46,52,60,67,71,72,74
14,2,2022,6,3,5,9,10,14,23,26,27,34,40,42,45,50,58,66,67,68,72,73,80
15,2,2022,6,9,10,14,17,18,19,27,31,39,46,51,54,57,58,62,65,67,72,77,78
16,2,2022,6,8,11,15,19,20,29,30,44,46,50,52,56,64,66,67,73,75,76,79,80
17,2,2022,6,1,2,5,7,10,12,13,20,31,38,48,52,56,57,59,60,65,67,71,72
18,2,2022,6,1,2,9,11,16,19,21,23,29,31,33,36,43,62,66,67,68,71,74,76
19,2,2022,6,2,4,6,10,17,26,29,32,36,38,42,44,47,59,64,65,71,74,79,80
20,2,2022,6,3,4,8,18,24,26,33,35,40,41,45,49,56,58,59,61,62,67,71,72
21,2,2022,6,7,20,21,24,28,31,43,47,48,49,51,58,59,63,68,69,71,74,79,80
22,2,2022,6,10,13,14,15,17,20,24,25,26,33,36,40,41,45,48,51,54,56,62,68
23,2,2022,6,2,4,12,13,24,26,28,39,40,47,50,54,60,62,66,72,73,75,77,80
24,2,2022,6,1,6,11,14,15,24,25,32,34,44,45,47,52,53,60,65,66,72,76,80
25,2,2022,6,3,5,6,14,20,23,25,45,52,56,61,62,63,66,67,71,76,77,79,80
26,2,2022,6,2,8,10,24,25,26,27,29,30,37,45,49,50,55,57,59,60,61,70,72
27,2,2022,6,6,7,9,11,14,15,18,23,24,30,37,39,42,49,52,53,57,61,73,75
28,2,2022,6,2,6,8,24,28,29,32,34,45,47,48,56,59,60,62,63,66,67,70,74
1,3,2022,6,11,12,21,23,24,25,27,32,34,41,43,45,47,49,55,59,63,64,67,70
2,3,2022,6,6,10,13,15,16,26,29,31,39,41,42,46,47,58,61,62,64,65,74,80
3,3,2022,6,15,17,20,22,29,31,35,36,38,40,48,50,51,53,54,63,64,65,67,72
4,3,2022,6,5,9,14,15,17,19,20,23,32,39,45,48,50,51,52,59,70,74,75,79
5,3,2022,6,6,7,9,14,15,22,23,25,29,34,35,47,51,61,63,65,67,68,76,77
6,3,2022,6,1,9,17,22,23,27,30,33,34,35,40,41,46,47,57,64,69,75,76,78
7,3,2022,6,3,4,16,20,26,34,37,38,43,44,48,57,61,65,67,69,70,75,77,78
8,3,2022,6,4,7,9,10,11,18,24,33,38,39,44,46,49,50,53,62,69,72,75,76
9,3,2022,6,1,4,12,16,23,24,25,27,29,30,35,40,45,47,48,54,55,72,78,79
10,3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,2022,6,2,3,6,21,22,25,28,32,33,39,46,48,58,60,64,67,69,73,75,78
15,3,2022,6,2,8,10,11,15,20,24,25,26,27,31,32,36,40,45,48,60,72,76,79
16,3,2022,6,2,4,8,10,13,15,16,19,20,23,26,32,34,43,44,47,50,52,55,62
17,3,2022,6,1,2,3,6,7,11,13,25,29,31,38,48,49,51,59,60,65,71,73,77
18,3,2022,6,3,11,12,13,18,20,38,42,46,48,50,53,61,63,66,69,75,76,78,80
19,3,2022,6,1,7,10,13,14,15,19,29,32,42,44,45,49,57,59,63,65,69,71,76
20,3,2022,6,11,12,16,17,27,37,39,45,50,51,52,59,61,63,65,66,68,72,74,78
21,3,2022,6,2,4,6,8,14,16,17,22,24,27,46,49,51,52,58,64,65,66,72,77
22,3,2022,6,1,2,4,7,9,11,20,23,30,31,33,34,37,40,59,60,63,73,74,79
23,3,2022,6,3,7,9,12,16,17,18,21,29,30,36,44,51,52,53,54,66,70,71,73
24,3,2022,6,4,8,9,11,25,26,31,32,34,38,42,44,49,61,66,67,70,72,77,79
25,3,2022,6,3,5,8,10,11,15,23,36,37,39,43,48,60,63,72,74,75,77,78,80
26,3,2022,6,3,7,13,16,17,21,23,26,38,42,44,45,47,52,63,70,71,72,73,78
27,3,2022,6,6,7,9,10,18,19,25,29,35,41,48,54,59,62,63,64,68,69,71,75
28,3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
